academic_year,exam,group_type,group_name,subject_id,registered_count,attended_count,absent_count,absence_rate,is_derived,derivation_method,derivation_version,input_source_ids,source_id
114,GSAT,subject_attendance,英文,english,120695,117866,2829,2.3439247690459424,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-114-absence""]",gsat-114-absence
114,GSAT,subject_attendance,數學A,mathematics_a,92917,90576,2341,2.519452845012215,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-114-absence""]",gsat-114-absence
114,GSAT,subject_attendance,數學B,mathematics_b,99813,95521,4292,4.300041076813642,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-114-absence""]",gsat-114-absence
114,GSAT,subject_attendance,自然,natural_sciences,80226,77520,2706,3.3729713559195273,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-114-absence""]",gsat-114-absence
114,GSAT,subject_attendance,社會,social_studies,98009,93800,4209,4.294503565999041,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-114-absence""]",gsat-114-absence
115,GSAT,all_candidates,全體報名考生,,121535,,,,False,,,"[""gsat-115-registration""]",gsat-115-registration
115,GSAT,subject_attendance,國綜,chinese_integrated,120902,118010,2892,2.39201998312683,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
115,GSAT,subject_attendance,國寫,chinese_writing,120902,117465,3437,2.8427982994491408,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
115,GSAT,subject_attendance,英文,english,120959,118169,2790,2.306566687885978,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
115,GSAT,subject_attendance,數學A,mathematics_a,92951,90579,2372,2.5518821744790263,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
115,GSAT,subject_attendance,數學B,mathematics_b,101718,97536,4182,4.111366719754616,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
115,GSAT,subject_attendance,自然,natural_sciences,81132,78382,2750,3.389538036779569,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
115,GSAT,subject_attendance,社會,social_studies,102061,97889,4172,4.087751442764621,True,缺考 / (實到 + 缺考) × 100；報考數 = 實到 + 缺考,1.0.0,"[""gsat-115-absence""]",gsat-115-absence
